user_id,leaning,label,no_videos,leaning_avg,user_name,authorstats_following,authorstats_followers,authorstats_heart,authorstats_videos,authorstats_diggs,no_of_hashtags,no_of_unique_hashtags
6642840276091404294,2.0,pro,2,1.0,alialvarez96,287.0,5570.0,305800,28.0,2980.0,6,3
6642840897142046726,0.5,pro,1,0.5,younglady92,31.0,9.0,310,,943.0,3,3
6642841332589248518,-1.5,con,1,-1.5,that1whiteboy4,402.0,2344.0,6011,58.0,12700.0,6,6
6642846067626967046,0.0,neutral,1,0.0,caitlin.anne26,211.0,919.0,43000,10.0,1090.0,1,1
6642846713377964037,0.0,neutral,1,0.0,mike_1208,585.0,708.0,33500,34.0,1660.0,8,7
6642850997684977669,0.0,neutral,1,0.0,chansebennett,440.0,149.0,3346,25.0,236.0,10,10
6642855240012644357,0.0,neutral,1,0.0,takibrano,123.0,99.0,720,3.0,254.0,7,7
6642856615354580998,-0.5,con,1,-0.5,_gelxea,69.0,75.0,5778,11.0,374.0,4,4
6642861199740715013,-1.0,con,1,-1.0,bufordmcadoo_,87.0,1900.0,134500,38.0,8240.0,3,3
6642865449737355270,-7.5,con,10,-0.75,hoveyk,999.0,1170.0,277100,342.0,3320.0,68,33
6642873365571977221,-0.5,con,1,-0.5,hahaitsbeans_,199.0,10800.0,110900,52.0,2846.0,9,9
6642889609994141701,0.0,neutral,1,0.0,gunnx3,480.0,1640.0,133500,21.0,3560.0,14,14
6642898880991313926,-1.0,con,1,-1.0,gavingreenwalt,84.0,13000.0,361700,171.0,11600.0,6,6
6642910062771093510,-2.0,con,1,-2.0,_just_your_average_dora_,4514.0,2455.0,14200,434.0,52500.0,4,4
6643004879434039302,0.0,neutral,1,0.0,melissaw0521_ky,36.0,701.0,74800,5.0,1150.0,9,9
6643012425536192518,0.0,neutral,1,0.0,justvoss,23.0,4320.0,508200,9.0,455.0,8,8
6643022946867806213,0.0,neutral,1,0.0,heather.lynn83,333.0,617.0,46800,56.0,1680.0,3,3
6643038386808766470,0.0,neutral,1,0.0,yella.barbie,113.0,14.0,1074,24.0,431.0,1,1
6643046859609931781,-0.5,con,2,-0.25,r3dneck_beast,780.0,9840.0,1100000,133.0,1930.0,10,10
6643052593198792709,0.0,neutral,1,0.0,themuffinman83738,13.0,3190.0,531800,13.0,1800.0,5,5
6643057750409052165,0.0,neutral,1,0.0,alpine.berry,27.0,356.0,108600,87.0,14810.0,1,1
6643073011350601733,0.0,neutral,1,0.0,its.notasunset,19.0,6.0,3358,13.0,3790.0,1,1
6643077589173714950,0.0,neutral,1,0.0,mustardprincessa,5.0,1520.0,1000000,28.0,94.0,4,4
6643081668108877830,-1.0,con,1,-1.0,bobbyyy14,861.0,217.0,996,6.0,39500.0,4,4
6643092364579061766,2.0,pro,2,1.0,kasadakg,7.0,31560.0,3600000,27.0,775.0,5,4
6643105022077812742,2.5,pro,1,2.5,peyton180712,448.0,185.0,3604,5.0,35500.0,4,4
6643105029379801094,0.0,neutral,1,0.0,anevayyy,6.0,53.0,6001,2.0,185.0,6,6
6643111793261953029,0.0,neutral,1,0.0,danniharding,31.0,5.0,299,1.0,570.0,2,2
6643125081445433349,-0.5,con,1,-0.5,happyinthehood,36.0,667.0,110800,7.0,222.0,12,12
6643141354661543942,0.5,pro,1,0.5,madxmadix,10.0,5060.0,383000,6.0,153.0,5,5
6643148066370535430,0.0,neutral,1,0.0,bjornmajestik420,136.0,2610.0,243800,58.0,3570.0,1,1
6643166248110768134,0.0,neutral,1,0.0,randomtiktokdood,932.0,73.0,3494,58.0,3080.0,1,1
6643166557479337990,0.5,pro,1,0.5,eshaluv24,142.0,31.0,1272,7.0,1290.0,3,3
6643170499457368069,0.0,neutral,1,0.0,dangerbacon,47.0,2070.0,427100,79.0,5080.0,1,1
6643181881888571398,-1.0,con,1,-1.0,christophermiller00,54.0,1426.0,6257,26.0,79.0,1,1
6643189850983120902,0.0,neutral,1,0.0,jeremyputansu,117.0,52.0,2688,2.0,213.0,2,2
6643192435822395397,0.0,neutral,1,0.0,doolie1981,154.0,24.0,362,5.0,1360.0,1,1
6643194532182949893,0.0,neutral,1,0.0,uluvvv._.avs,68.0,652.0,171100,111.0,5320.0,5,5
6643198567635812357,1.5,pro,1,1.5,rooseveltgardner,821.0,91800.0,529100,22.0,2302.0,6,6
6643202067824492549,0.0,neutral,1,0.0,jordan_a_w,34.0,117.0,5217,11.0,6940.0,5,5
6643225632942243845,0.0,neutral,1,0.0,violetalily,22.0,48.0,14500,105.0,1770.0,1,1
6643234035705675782,1.5,pro,1,1.5,faegle,90.0,1546.0,50300,33.0,40200.0,9,9
6643268348182626309,2.5,pro,2,1.25,gab_vigneux,291.0,189.0,3984,149.0,4357.0,10,8
6643268495306506245,-1.5,con,1,-1.5,jamesleach03,597.0,5169.0,15800,100.0,8238.0,11,11
6643294147003056133,1.0,pro,2,0.5,nichrichie,74.0,4670.0,2800000,154.0,952.0,11,11
6643298721247657990,0.0,neutral,1,0.0,medic1157,112.0,578.0,39100,20.0,1160.0,1,1
6643303483805155333,0.0,neutral,1,0.0,isaiahcooksey6,171.0,729.0,61100,11.0,2340.0,1,1
6643312943687761925,-1.0,con,1,-1.0,lilabner84,76.0,194400.0,909600,76.0,238.0,4,4
6643321981420126213,0.0,neutral,1,0.0,isaiah_cnagrinden,336.0,2690.0,427900,90.0,4040.0,7,7
6643323840217169926,0.0,neutral,1,0.0,jackmcafeee,41.0,161.0,11400,12.0,375.0,3,3
6643367847417659397,0.5,pro,1,0.5,clairvoyant154,119.0,206.0,7061,45.0,566.0,5,5
6643378999446634501,0.0,neutral,1,0.0,carlshabazz,875.0,202.0,10300,87.0,3850.0,1,1
6643392070949404678,0.5,pro,1,0.5,sonjaramona,45.0,448.0,383700,30.0,1560.0,2,2
6643419769977503750,0.0,neutral,1,0.0,awkward_mfn_sara,95.0,262.0,50200,70.0,1300.0,1,1
6643426439994834950,2.0,pro,2,1.0,brutofficiel,48.0,251800.0,3600000,285.0,155.0,5,3
6643427317359542277,0.0,neutral,1,0.0,user31322114,34.0,7.0,213,,96.0,1,1
6643447251099631622,0.0,neutral,1,0.0,soy_jime_oficial_01,205.0,672.0,47200,39.0,566.0,2,2
6643450612074528774,0.0,neutral,1,0.0,userk9beethoven,112.0,40.0,2666,1.0,435.0,3,3
6643455531636047877,0.0,neutral,1,0.0,_nickotine_,175.0,8040.0,2000000,65.0,3760.0,1,1
6643456711452934150,0.0,neutral,1,0.0,squirrelly_lunchlady,151.0,67.0,1602,17.0,2940.0,1,1
6643457958242140166,2.5,pro,1,2.5,aloha0hlivia,2871.0,2533.0,13700,40.0,30800.0,9,9
6643459849516875781,2.0,pro,2,1.0,browneyedkel,149.0,60.0,6491,145.0,11870.0,10,8
6643485403650457605,0.0,neutral,1,0.0,gg_oletyt,192.0,40.0,2246,9.0,1930.0,1,1
6643505671739441157,1.5,pro,1,1.5,salimhussain145,313.0,3321.0,166900,256.0,36500.0,5,5
6643507371899486213,0.0,neutral,1,0.0,catalina29pelusa,190.0,7.0,172,1.0,1340.0,1,1
6643513186027945989,0.0,neutral,1,0.0,ustyjanczuk_,7.0,709.0,202100,10.0,248.0,4,4
6643517188639178758,0.0,neutral,1,0.0,salinas_kayla,15.0,7960.0,309800,12.0,447.0,12,12
6643518990675574789,3.0,pro,1,3.0,jjyugo,58.0,1490.0,265300,129.0,7150.0,8,8
6643521781969223685,2.5,pro,4,0.625,thistaylorelajas,55.0,18400.0,1300000,262.0,598.0,37,15
6643535209454239750,0.0,neutral,1,0.0,wiltedspace396,50.0,3.0,322,6.0,13170.0,1,1
6643535518477860869,-2.0,con,1,-2.0,connor.abc,492.0,68.0,128,18.0,21000.0,4,4
6643550700536938501,0.0,neutral,1,0.0,baby.doll.jazzy.cos,95.0,4.0,992,7.0,8310.0,1,1
6643574352891772934,0.5,pro,1,0.5,leebehere,46.0,73.0,38000,6.0,1060.0,5,5
6643579236408147974,0.0,neutral,1,0.0,cazlaur,30.0,36540.0,17300000,79.0,4580.0,1,1
6643583101379706886,1.0,pro,1,1.0,zalesjewelry,9992.0,13700.0,216800,284.0,83000.0,8,8
6643586895051882502,0.0,neutral,1,0.0,jessicafrazer2020,115.0,28.0,4583,37.0,268.0,1,1
6643594097708187653,8.0,pro,4,2.0,vannmelen,97.0,1848.0,283300,47.0,708.0,48,12
6643598030988787718,1.5,pro,1,1.5,krysmay,572.0,3000000.0,84800000,194.0,22700.0,14,14
6643599553764098054,0.0,neutral,1,0.0,femalekale,71.0,3480.0,882600,44.0,7490.0,1,1
6643603668313030661,-2.0,con,2,-1.0,dr_margherita_,655.0,1190.0,12500,16.0,3638.0,6,3
6643606891091361798,0.0,neutral,1,0.0,amariongreene,14.0,4780.0,790900,8.0,947.0,4,4
6643624086222225413,-1.5,con,1,-1.5,cstringerphoto,5300.0,3304.0,46800,116.0,9891.0,9,9
6643649121557577733,-0.5,con,1,-0.5,hannah_t2003,3.0,6930.0,529800,11.0,715.0,5,5
6643655687552811014,0.5,pro,1,0.5,jacquelynwillis45,67.0,6210.0,610800,9.0,353.0,2,2
6643660386288238598,0.0,neutral,1,0.0,kellykirstein,31.0,21430.0,4300000,110.0,2760.0,1,1
6643661617916395526,0.0,neutral,1,0.0,indiefilmprotagonist,149.0,15160.0,6400000,340.0,11750.0,1,1
6643662390939500550,1.0,pro,1,1.0,avgjoesopinion,309.0,28600.0,237900,47.0,8813.0,11,11
