user_id,no_of_videos,no_of_hashtags,no_of_unique_hashtags
6809663620253074438,1,1,1
6636077729686028293,1,1,1
6638658234440024069,1,5,4
6600232894404067333,2,4,4
6829209739759469574,1,2,2
6687651189792654342,2,2,1
6778054267463844869,1,1,1
6838024310352839686,3,3,1
6565479280142598150,1,1,1
6770493096447738885,2,7,6
6836395313176118278,1,1,1
6528168643321675786,1,1,1
6519492143840378890,1,1,1
6786803866119160837,1,2,2
6813974282013279237,3,9,7
6672165643149950981,2,6,3
6783036471924687877,1,3,3
6842608601459229701,1,1,1
6595258145206763526,1,1,1
6686140134285427718,1,3,3
6714350548588413957,1,7,7
6800176420410508294,1,2,2
6866823339169186822,1,1,1
6859193985455342598,1,1,1
6794803075679241222,1,2,2
6827258513614963717,1,5,5
6765607731217302533,1,2,2
6781422498723398661,1,1,1
6670356673071235078,1,1,1
6808336741284725765,1,2,2
6829296489228928006,1,6,6
6729142735427535877,1,4,4
6550223997073031174,1,7,7
6835414875071726597,1,1,1
6549308560562459663,3,3,1
282386141180239872,1,4,4
6746759379934905350,1,5,5
9271516,1,5,5
6592331709777133573,2,8,6
6836489109387133958,2,6,5
6772694727457309701,1,7,7
6777282398608491526,1,1,1
6825815801484887045,1,1,1
6761825254304564229,1,9,9
6717054996166755333,1,2,2
234529849716146176,1,1,1
121565860854382592,1,1,1
6758551593954444293,1,4,4
6829205096425980933,1,2,2
6789465306685080582,1,5,5
6833546970558645254,1,1,1
6775933515748099077,1,4,4
6555940088952995846,5,48,29
6755158804499547141,1,3,3
6830614106052936709,1,2,2
6839906602570990598,1,3,3
6627390652231598086,1,11,11
6578912949694627845,1,6,6
6692400451335848965,1,2,2
6750181532859679750,1,3,3
6816497239599449093,1,3,3
6821061154036139014,1,2,2
6793544027264123909,1,1,1
6803319000911643654,1,1,1
6580541504292536325,1,1,1
6592360769395982341,1,1,1
6827853649696867333,1,1,1
6785686434802091013,1,3,3
6790908647003800581,1,1,1
6791349009169761285,1,1,1
82716440591482880,3,22,12
6606638580553646085,3,3,1
6634286095797796870,1,5,5
6771541680534930437,1,1,1
6699672351205245957,1,6,5
6851216160144475142,1,3,3
6745618887310754821,1,8,8
6561075217534861318,1,1,1
6735877055877399558,2,12,8
6691344246681240582,1,6,6
6831675145792439302,1,7,7
6646525549904068613,1,1,1
6707626049339933702,1,1,1
6545562072623742982,1,4,4
6864182388751762438,1,3,3
6845040266505028613,1,1,1
6821168279261742085,1,9,9
6810559793281418245,2,3,2
6608657803585257478,1,2,2
6718159241763144710,1,1,1
6680944006296650757,1,6,6
6792785597791912966,2,19,17
6796014048972669958,1,5,5
6799718501105402885,1,1,1
6620207321085968390,1,2,2
6820111596363793414,3,29,16
6834426330856440838,1,1,1
6669355050928701446,3,3,1
6793757155571155973,1,2,2
6663586445637550086,1,1,1
6834285518269760517,1,1,1
6349658948665836548,1,1,1
6763080792576476166,5,31,16
6843187097894192133,2,3,2
6640573533813932037,1,5,5
6860290058042819590,2,15,13
6862050023552648198,1,1,1
6574262243848241158,1,3,3
6549581128074793984,1,1,1
6835956219305034758,1,2,2
6774381397685322758,1,6,6
6817523350367618053,2,2,1
6740290014221665285,1,6,6
6760901260234589189,1,2,2
260255702802407425,1,2,2
6848406400223052806,2,3,2
6834573621139473413,1,1,1
6637757134577926149,1,3,3
6718766734802060294,1,4,4
6774952443580695558,1,1,1
6832044076729254918,1,6,6
6629494227443499013,1,7,7
6819115572287341574,1,4,4
6775245071237252101,1,4,4
79139634810646528,1,1,1
6588777002459037702,1,1,1
83492777237282816,1,1,1
6808320377799918597,2,24,11
6790480790078981125,1,1,1
6864273040534275077,1,6,6
6667627419971272710,1,5,5
6810100575054611461,1,1,1
6593835428821647366,1,1,1
6765134988112643078,1,1,1
6783514222547796998,1,1,1
6809147883276502021,3,4,2
6887965794815525893,1,1,1
6838720721889674246,1,2,2
6825400947804636165,1,1,1
6833964863401051142,1,1,1
6748959502304314373,1,1,1
6638018564501782533,1,3,3
6791432501975843846,3,15,11
6819735706472580102,1,3,3
6853163434152002566,2,5,4
6859366248724825093,1,3,3
6832317363972228102,1,1,1
6739313756087878662,1,1,1
6628884605347348486,1,7,7
6793365332553368582,1,1,1
6808656424475919365,1,11,11
6784603569804657670,1,1,1
6841686459331085317,1,2,2
6555965264306814981,1,1,1
6837921757460284421,1,1,1
6820657806593491974,1,8,8
6718807587797074949,1,1,1
6637114586322370565,5,17,7
6767113809904698374,4,16,7
6841947632631514117,1,13,13
6745984245787935749,3,15,12
6809456709041914885,4,28,17
6776460799718605830,1,1,1
6632087095349542917,2,2,1
6740117079716594694,9,40,16
