user_id,tagged_id,co_occurences
4995740,6532055307936366593,1
5016413,84635664075374592,1
5018179,6565170509783334918,1
5020555,72360388624867328,1
5040928,6565170509783334918,1
5097272,6565170509783334918,1
5204184,6765958342987170821,1
5223567,6809475785499509766,1
5241138,6773244011974198277,1
5276927,6565170509783334918,1
5281359,6712373279477367813,1
5323484,6812105672144438277,1
5333983,6802826892384224261,1
5336234,107955,1
5336234,6712188080147072005,1
5374226,4653183,1
5374632,6545583978890400783,1
5393138,6565170509783334918,1
5421516,6532028048034758657,1
5441511,135275501509550080,1
5443263,6712188080147072005,1
5477732,6810010939993261061,1
5546604,6834300924778087430,1
5557548,6730507102445519878,1
5581596,6649545477367169030,1
5600304,6862421073331143686,1
5643718,6740866460645032965,1
5647037,6780384192099435525,1
5675063,6690011174203196422,1
5680375,6793847980245304322,1
5714468,6758204901325112326,1
5725221,6798175691658806278,1
5734306,6771019914858841094,1
5780452,6758204901325112326,1
5812887,6758204901325112326,1
5854055,243540639441690624,1
5854055,6684799175513179142,1
5854055,6810501489330668550,1
5854055,6821600017238672389,1
5860899,6820035200661095430,1
5879353,6593150079825477638,1
5884350,72360388624867328,1
5911124,6780384192099435525,1
5913958,6565170509783334918,1
5920711,6532055307936366593,1
5994237,136406641163374592,1
5995430,136406641163374592,1
5997197,6767383368042398726,1
6023905,6662175718758678533,1
6023905,6683137874445009926,1
6023905,6788637221647369222,1
6025817,6684799175513179142,1
6063754,6684799175513179142,1
6063754,6729952057329271813,1
6063754,6771561856500827142,1
6063754,6830832522008970246,1
6070416,6741884267766891525,1
6095114,6724116395095573510,1
6096898,6741884267766891525,1
6179438,6611837737036644357,1
6179438,6645855783803191302,1
6203325,6764156219622081541,1
6207504,6688659357297853446,1
6207504,6750725126160139269,1
6207504,6812105672144438277,1
6255354,6309342,1
6255354,6752157937618535429,1
6259634,59240913742348288,2
6261248,6750725126160139269,1
6340289,6763452067047572486,1
6377549,6812105672144438277,1
6379680,59240913742348288,1
6384775,1465059,1
6390064,6565170509783334918,1
6390223,6736239741345465350,1
6399531,6782351414271181830,1
6415625,6614212463507144709,1
6472170,54863246234509312,1
6481339,6662175718758678533,1
6499529,6645855783803191302,1
6499529,6786838485119632389,1
6564597,6812609560408654853,1
6592456,6565170509783334918,1
6650917,6758204901325112326,1
6663932,59240913742348288,1
6665635,135275501509550080,1
6672019,6565170509783334918,1
6687518,6678058108848489478,1
6696253,6684799175513179142,1
6697329,6779899358201627653,1
6704506,6798652509189735430,1
6734121,6715956570364314630,1
6745898,6815912186395067398,1
6753552,6777802822199002117,1
6856973,6812105672144438277,1
6900132,6707698232178689030,1
6900132,6817538724264887302,1
6916456,6620896275339919365,1
6962767,6715956570364314630,1
6962767,6724511517688071174,1
6964224,6819361156240573445,1
6989500,6737042532499506182,1
7002783,6767383368042398726,1
7005678,6837291599740060677,1
7010087,59240913742348288,1
7016287,150720527609769984,1
7032857,6565170509783334918,1
7041152,6712188080147072005,1
7072314,4653183,1
7075858,6688659357297853446,1
7109615,4780621,1
7128965,59240913742348288,1
7160677,150720527609769984,1
7160677,6791488061437297669,1
7160677,6809271514543719429,1
7164881,6620896275339919365,1
7165538,107955,1
7165538,6712188080147072005,1
7209796,6628913899952062470,1
7232764,6532035469444644866,1
7251190,316877939743313920,1
7255655,6613071503633580037,1
7263828,59240913742348288,1
7269323,6780384192099435525,1
7297167,316877939743313920,1
7298821,6563953933454163974,1
7306845,6683565095794967557,1
7329511,6719500154107560965,1
7335816,6826601380284498950,1
7336483,6771019914858841094,1
7348708,185967457113702400,1
7348708,6620896275339919365,1
7361355,6780384192099435525,2
7376308,6573517053457514502,1
7420691,59240913742348288,1
7453990,288237101958148097,1
7466096,72360388624867328,1
7472601,6719500154107560965,1
7498430,6755114752386630662,1
7531698,6739078402710553605,1
7586672,6780384192099435525,1
7602337,6661384165353553926,1
7604367,6697591994586776581,1
7640145,6771019914858841094,1
7652145,72360388624867328,1
7674158,150720527609769984,1
7674158,6692378616859460614,1
7701320,59240913742348288,1
7708458,6712188080147072005,1
7708634,6815331331133981702,1
7728844,6750725126160139269,1
7737055,6532035469444644866,1
7755926,6764156219622081541,1
7755926,7865656,1
7760097,6712188080147072005,1
7777125,6565170509783334918,1
7790349,6620896275339919365,1
7790349,6755114752386630662,1
7801922,59744882377908224,1
7801922,6561508734575902726,1
7801922,6650390428716466181,2
7801922,6666578690022998021,1
7801922,6710030448099214341,2
7801922,6725949514202498053,1
7801922,6758204901325112326,1
7801922,845202,1
7803700,6620896275339919365,1
7804999,274057588609269760,1
7824187,6755114752386630662,1
7874535,6612019101797842949,1
7879057,6758204901325112326,1
7891928,6811637980043297798,1
7905582,6620896275339919365,1
7931484,6764156219622081541,1
7935930,6684799175513179142,1
7944042,6648412721421451270,1
7944042,6706375840587875334,1
7944042,6732787926663185414,1
7944042,6780154300653732870,1
7944042,6794671959302128642,1
7963248,10750266,1
7982866,6614212463507144709,1
8020463,1944858,1
8031579,6579869697038630918,1
8065217,6573517053457514502,1
8135359,6712188080147072005,1
8168679,6614212463507144709,1
8182624,6809386444400083973,1
8183610,6712188080147072005,1
8199502,6611837737036644357,1
8199502,6812105672144438277,1
8213252,6767383368042398726,1
8271106,6614212463507144709,1
8312655,6623905785242206214,1
8322819,6755114752386630662,2
8324976,6684799175513179142,1
8328294,6820464500909016069,1
8397569,6715738999438296069,1
8420295,6654749033343107077,1
8420295,6741884267766891525,1
8514679,6764156219622081541,1
8523491,6567536643522822149,1
8532496,6573517053457514502,1
8537576,6703126725822104582,1
8569897,6532035469444644866,1
8569897,6573517053457514502,1
8574758,6565170509783334918,1
8613465,6684286584592548870,1
8625804,6812105672144438277,1
8660149,6767383368042398726,1
8667200,150720527609769984,1
8673697,6638194791559856133,1
8686333,6780384192099435525,1
8857778,6734101501666444294,1
8867797,6607608361879994373,1
8867797,6612750894532476934,1
8867797,6776294266304349190,1
8867797,6786258181074682885,1
8883459,6832512635276248070,1
8918367,4653183,1
8946173,161835535131541504,1
8962286,6712188080147072005,1
8989478,9824579,1
8992583,6663531697810948102,1
8992583,6765258002201510917,1
8993666,59240913742348288,1
8994279,6678444556276941830,1
9042539,6723360922221921286,1
9099304,6684799175513179142,1
9112571,6573517053457514502,1
9137246,6592392874331226118,1
9137563,6615832874987831302,1
9195405,135275501509550080,1
9226229,6573517053457514502,1
9271516,15769008,1
9276426,150720527609769984,1
9279154,6743352887282664454,1
9291480,6810374038365619205,1
9311726,72360388624867328,1
9321284,59240913742348288,1
9324481,6724511517688071174,1
9340303,6704718156772262917,1
9352245,6565170509783334918,1
9357922,6755114752386630662,1
9361866,150720527609769984,1
9361866,6573517053457514502,1
9389426,6758204901325112326,1
9400104,6767383368042398726,1
9469239,6645319574496772102,1
9516848,6620896275339919365,1
9530853,6751495124989527046,1
9531161,6669736527910649861,1
9532710,6666928331369644037,1
9543034,6611200058774274054,1
9543425,6758204901325112326,1
9557443,6712188080147072005,1
9560590,6620896275339919365,1
9579072,6688659357297853446,1
9590636,6810410049338639366,1
9618735,6684799175513179142,1
9663386,6532055307936366593,1
9679942,6750725126160139269,1
9786886,59240913742348288,1
9786886,6545583978890400783,1
9786886,6666632610247639045,1
9792127,9792127,1
9807694,150720527609769984,1
9821532,6767383368042398726,1
9825872,6678058108848489478,1
9826644,6819149322601841669,1
9851596,6684286584592548870,1
9895725,150720527609769984,1
9915661,6573517053457514502,1
9951355,6611837737036644357,1
9960551,6786838485119632389,1
10001929,6764156219622081541,1
10075136,6645855783803191302,1
10129043,6715676458939139077,1
10129043,6727332809935717382,1
10143603,6532035469444644866,1
10146369,6712188080147072005,1
10151679,59240913742348288,1
10208209,136406641163374592,1
10237204,58036492731678720,1
10238846,216126454181597184,1
10238846,893865,1
10247577,6532063069839818754,1
10266640,10266640,1
10266640,6750725126160139269,1
10271706,6545583978890400783,1
