video_id,stats_likes,stats_shares,stats_comments,stats_plays,video_length,nr_hashtags,nr_tags,leaning_new,label_new
6844645595634830598,,,,3.0,3.0,4,1,0.5,pro
6848280629688274181,,,,,3.0,2,1,0.5,pro
6841181225244183813,,,,8.0,3.0,1,1,0.0,neutral
6835345214534618373,403.0,29.0,831.0,12140.0,1.0,2,0,1.0,pro
6855757514118597894,559.0,,31.0,2250.0,1.0,1,1,0.0,neutral
6856878450507091206,301.0,3.0,10.0,2070.0,1.0,11,1,-0.5,con
6851773452496555270,286.0,,23.0,1200.0,1.0,8,0,-1.0,con
6857659269865622790,268.0,,26.0,4050.0,1.0,1,1,0.0,neutral
6838627167983766790,255.0,,10.0,1160.0,1.0,2,1,-0.5,con
6842150166817033477,254.0,,17.0,1210.0,1.0,11,1,0.0,neutral
6857560303962475781,222.0,,23.0,2820.0,1.0,1,1,0.0,neutral
6839752996331588870,196.0,,2.0,936.0,1.0,13,1,0.0,neutral
6859752644043377925,186.0,,11.0,772.0,1.0,7,1,0.0,neutral
6855798389930577158,120.0,8.0,25.0,1090.0,1.0,7,1,-1.0,con
6865260507918585094,120.0,,23.0,1310.0,1.0,2,0,0.0,neutral
6890597796227927301,115.0,,19.0,903.0,1.0,7,1,1.0,pro
6841799284908723462,113.0,,26.0,970.0,1.0,8,1,-0.5,con
6849801299190467845,110.0,,19.0,1120.0,1.0,10,2,0.0,neutral
6860973150465838341,107.0,,41.0,1990.0,1.0,5,1,-0.5,con
6889904505379425542,106.0,,16.0,1430.0,1.0,1,1,0.0,neutral
6840456382790028550,100.0,,21.0,2410.0,1.0,1,1,0.0,neutral
6858418969313905925,87.0,3.0,17.0,500.0,1.0,7,2,0.0,neutral
6859469465596333318,84.0,,16.0,988.0,1.0,3,1,-0.5,con
6866066026178579717,84.0,,9.0,451.0,1.0,1,1,0.0,neutral
6869637389866880261,81.0,,4.0,242.0,1.0,9,1,0.0,neutral
6850846657110756613,80.0,,18.0,424.0,1.0,13,1,0.0,neutral
6860225701589568774,79.0,,4.0,287.0,1.0,7,1,0.5,pro
6857317605837901062,76.0,,4.0,292.0,1.0,5,2,0.5,pro
6862044647259114757,75.0,,8.0,433.0,1.0,1,1,0.0,neutral
6889694460293221638,74.0,,7.0,353.0,1.0,4,1,-0.5,con
