video_id,nr_hashtags
6867317476816964870,6
6867285275526188293,7
6862739088940862726,4
6862481375258365190,4
6862349252299869445,1
6861363575567502597,1
6860463271066012933,1
6859175908142632198,12
6869546311322979590,1
6868742561809435909,6
6867474834356555013,5
6866946572878400774,1
6864228916605816069,1
6863158395482983686,1
6855351423249534213,1
6850546867688836358,1
6890294741213269254,1
6864529878851521798,2
6859262237631171845,1
6858564678709284101,1
6856191939524562182,1
6855907933591588102,3
6855427732239584517,6
6842365879049522438,3
6890430016467766533,1
6868010609779232005,3
6864634380308991237,1
6864299916286577925,1
6864296661699595526,7
6864140823932587269,1
6863648191493967109,11
6861353215380835590,1
6860621966517259526,2
6860572630609612037,1
6858742459002785030,1
6856918047395974405,8
6856100148397739269,1
6872470288727018758,6
6873163698849008901,5
6885489831779110150,2
6886467841114131718,13
6875343802056396037,6
6872634544567143685,7
6889625048387276038,1
6881012718845857030,1
6873127319578381573,4
6887933025254935814,7
6885143416762584326,14
6885484656372862210,2
6882566976535842054,2
6872724565097778438,3
6872831745754959109,2
6872776128986205446,6
6874212635164953862,5
6886823716987227398,5
6879092236274142469,1
6874302010666077446,1
6873359433838120197,7
6877294518157282566,4
6874370952768015622,1
6872500767174003974,7
6874301564580908293,3
6873115453888220421,1
6886630435116338437,5
6872932577922125062,4
6873552431792377093,2
6872537985779256582,1
6873519436679220485,6
6886928499068652806,1
6872482786607959302,1
6875495206817418502,5
6872817511608372486,10
6886801383773850885,8
6874061623854779653,4
6875451448692460805,3
6882716749914066182,2
6877810656951799046,9
6877943867677625606,8
6886824030305914118,5
6872912597310606597,10
6873779323610926341,1
6873845110967192837,5
6877808596290227461,7
6886502747793919238,2
6881442906050219270,3
6873171869642542342,5
6873257092476685574,1
6873081829029596421,4
6887036356057369862,8
6875077777800973574,3
6874038236734295301,4
6873286353451306245,4
6873566072910449925,1
6872561430311226629,1
6881427102575381765,2
6890322803254381829,1
6881634307186625797,1
6885523003451493638,1
6872493455281491202,1
6873203378101472518,1
6873572918593359110,6
6872779543556427014,1
6889638989859458309,1
6886496733237382405,1
6874036197405035782,1
6887341950521855238,6
6872698287074413830,1
6889854931277204742,8
6886560059824852229,1
6885912572780956933,1
6874025161020951813,5
6872914492892679429,4
6872908865696992517,3
6873945647565835526,1
6876418367654219013,1
6873848669418949893,1
6888011485725936902,1
6886540256024300806,1
6873879987464834310,1
6874528470848834821,1
6873292491819322629,1
6873869734752849158,1
6873576625435315462,1
6873978681598004485,2
6873028343801957638,1
6883153477439147269,1
6881127887534148870,1
6872490815827053830,1
6876605596154596614,6
6887275727247494406,2
6873120133594893573,8
6872920967698517253,4
6874752737871990022,1
6874011834005884166,4
6873923523065154821,12
6873614496552717573,1
6873159662905085189,4
6874556220825439494,2
6873444185760959749,1
6873620905520598278,6
6890362814175710465,5
6872830250221325574,7
6889900960890604801,6
6881046841656462598,2
6889612566281129221,1
6889017278990470405,2
6873873968005205254,3
6873602523844889862,7
6873471520497241349,1
6872906362842565894,4
6874210016631508230,10
6883084920546151686,1
6874785152623529221,3
6874361194451438854,1
6886486618782387461,1
6873452919404924165,6
6875706781419523334,1
6873097965293047046,1
6876891906010320133,6
6886618387359780102,5
6872808653531909382,1
6877373909851720965,1
6876944161161972997,1
6876543916649385222,4
6872490894172458245,6
6872819560614055173,4
6874374950891851014,7
6887232014076890373,3
6878149414871928070,1
6872916354635255046,4
6874354204710866182,1
6881077913983208710,5
6873465644126407941,1
6886873413323967749,2
6886311348490292486,1
6874523766991375621,1
6874362111535975685,1
6873697367573499142,3
6872676478623042822,5
6889225740806622469,1
